evaluation_run_id,timestamp_utc,phase,block,repetition,order_index,parent_experiment,parent_execution_mode,composition_id,comparison_group,binding_mode,component_index,component_name,component_family,proving_system,witness_time_s,prove_time_s,verify_time_s,total_online_time_s,proof_size_bytes,public_size_bytes,verification_ok,binding_ok,status,error
20260728T123050Z_paper_groth16,2026-07-28T12:36:40.486247+00:00,measured,1,1,29,linked_token_bundle_monolithic_32_depth_16,monolithic,token_bundle_b32_d16,commitment_linked,tx_tag,1,linked_token_bundle_monolithic_32_depth_16,token_policy_bundle,groth16,0.062379840999938097,0.5883710109999356,0.26867758200000935,0.919428433999883,806,342,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:41.105783+00:00,measured,1,1,30,account_policy_with_privacy_budget_32,monolithic,account_budget_b32,baseline,shared_witness,1,account_policy_with_privacy_budget_32,account_policy_with_privacy_budget,groth16,0.02304328200011696,0.33180366999999933,0.2640985420000561,0.6189454940001724,805,30,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:41.689605+00:00,measured,1,1,31,local_financial_validity_32,monolithic,,,none,1,local_financial_validity_32,local_financial_validity,groth16,0.02373949600018932,0.2930840479998551,0.26639200599993273,0.5832155499999772,805,3,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:42.267244+00:00,measured,1,1,32,operating_limit_16,monolithic,,,none,1,operating_limit_16,operating_limit,groth16,0.02208985000015673,0.2836187370000971,0.2712421290000293,0.5769507160002831,807,12,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:42.861284+00:00,measured,1,1,33,local_financial_validity_16,monolithic,,,none,1,local_financial_validity_16,local_financial_validity,groth16,0.023149059999923338,0.3064463709999927,0.26370192300009876,0.5932973540000148,801,3,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:43.906254+00:00,measured,1,1,34,merkle_membership_depth_32,monolithic,,,none,1,merkle_membership_depth_32,merkle_membership,groth16,0.04542518299990661,0.7052004449999458,0.29363165800009483,1.0442572859999473,805,84,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:46.710061+00:00,measured,1,1,35,separate_token_bundle_32_depth_32,separate,token_bundle_b32_d32,baseline,unbound,1,merkle_membership_depth_32,merkle_membership,groth16,0.04414420400007657,0.7129351900000529,0.2807045439999456,1.037783938000075,806,84,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:46.710061+00:00,measured,1,1,35,separate_token_bundle_32_depth_32,separate,token_bundle_b32_d32,baseline,unbound,2,nullifier_correctness_poseidon,nullifier_correctness,groth16,0.037438781999981074,0.33546557399995436,0.26138087900017126,0.6342852350001067,805,164,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:46.710061+00:00,measured,1,1,35,separate_token_bundle_32_depth_32,separate,token_bundle_b32_d32,baseline,unbound,3,local_financial_validity_32,local_financial_validity,groth16,0.02023342600000433,0.27934095399996295,0.26470553200010727,0.5642799120000745,806,3,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:46.710061+00:00,measured,1,1,35,separate_token_bundle_32_depth_32,separate,token_bundle_b32_d32,baseline,unbound,4,privacy_budget_32,privacy_budget,groth16,0.01942655100015145,0.2952014869999857,0.2506045700001778,0.5652326080003149,806,16,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:47.295252+00:00,measured,1,1,36,local_validity_and_operating_limit_16,monolithic,valid_limit_b16,baseline,shared_witness,1,local_validity_and_operating_limit_16,local_validity_and_operating_limit,groth16,0.021572682000169152,0.31124220300011984,0.2517475130000548,0.5845623980003438,806,12,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:48.196239+00:00,measured,1,1,37,token_policy_bundle_32_depth_16,monolithic,token_bundle_b32_d16,baseline,shared_witness,1,token_policy_bundle_32_depth_16,token_policy_bundle,groth16,0.047519491000002745,0.5524037669999871,0.3004160640000464,0.9003393220000362,804,260,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:48.803361+00:00,measured,1,1,38,account_policy_core_16,monolithic,account_core_b16,baseline,shared_witness,1,account_policy_core_16,account_policy_core,groth16,0.024065690999805156,0.2936329270000897,0.2887532719998944,0.6064518899997893,804,12,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:50.002727+00:00,measured,1,1,39,separate_valid_limit_64,separate,valid_limit_b64,baseline,unbound,1,local_financial_validity_64,local_financial_validity,groth16,0.027339088999951855,0.29384498500007794,0.25642648400003054,0.5776105580000603,806,3,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:50.002727+00:00,measured,1,1,39,separate_valid_limit_64,separate,valid_limit_b64,baseline,unbound,2,operating_limit_64,operating_limit,groth16,0.02085204100012561,0.33421046500006923,0.26519191100010175,0.6202544170002966,804,26,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:51.753881+00:00,measured,1,1,40,separate_account_core_16,separate,account_core_b16,baseline,unbound,1,local_financial_validity_16,local_financial_validity,groth16,0.019664687999920716,0.2922388780000347,0.2681592729998101,0.5800628389997655,803,3,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:51.753881+00:00,measured,1,1,40,separate_account_core_16,separate,account_core_b16,baseline,unbound,2,state_transition_and_conservation_16,state_transition_and_conservation,groth16,0.02169185299999299,0.30158032200006346,0.2806182990000252,0.6038904740000817,805,3,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:51.753881+00:00,measured,1,1,40,separate_account_core_16,separate,account_core_b16,baseline,unbound,3,operating_limit_16,operating_limit,groth16,0.019360327999947913,0.29055761200015695,0.25566291499990257,0.5655808550000074,806,12,True,,ok,
