evaluation_run_id,timestamp_utc,phase,block,repetition,order_index,experiment_name,family,policy_set,architecture,role,bits,merkle_depth,composition_id,comparison_group,binding_mode,execution_mode,component_count,component_names,proving_system,constraints,witness_time_s,prove_time_s,verify_time_s,bundle_check_time_s,total_online_time_s,proof_size_bytes,public_size_bytes,proofs_ok,binding_ok,verification_ok,status,error
20260728T123050Z_paper_groth16,2026-07-28T12:36:47.295252+00:00,measured,1,1,36,local_validity_and_operating_limit_16,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition,16,,valid_limit_b16,baseline,shared_witness,monolithic,1,local_validity_and_operating_limit_16,groth16,131,0.021572682000169152,0.31124220300011984,0.2517475130000548,0.0,0.5845623980003438,806,12,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:48.196239+00:00,measured,1,1,37,token_policy_bundle_32_depth_16,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition,32,16,token_bundle_b32_d16,baseline,shared_witness,monolithic,1,token_policy_bundle_32_depth_16,groth16,9685,0.047519491000002745,0.5524037669999871,0.3004160640000464,0.0,0.9003393220000362,804,260,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:48.803361+00:00,measured,1,1,38,account_policy_core_16,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition,16,,account_core_b16,baseline,shared_witness,monolithic,1,account_policy_core_16,groth16,186,0.024065690999805156,0.2936329270000897,0.2887532719998944,0.0,0.6064518899997893,804,12,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:50.002727+00:00,measured,1,1,39,separate_valid_limit_64,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition_baseline,64,,valid_limit_b64,baseline,unbound,separate,2,local_financial_validity_64;operating_limit_64,groth16,532,0.048191130000077465,0.6280554500001472,0.5216183950001323,0.0,1.197864975000357,1610,29,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:51.753881+00:00,measured,1,1,40,separate_account_core_16,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition_baseline,16,,account_core_b16,baseline,unbound,separate,3,local_financial_validity_16;state_transition_and_conservation_16;operating_limit_16,groth16,237,0.06071686899986162,0.8843768120002551,0.8044404869997379,0.0,1.7495341679998546,2414,18,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:54.355350+00:00,measured,1,1,41,separate_token_bundle_32_depth_16,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition_baseline,32,16,token_bundle_b32_d16,baseline,unbound,separate,4,merkle_membership_depth_16;nullifier_correctness_poseidon;local_financial_validity_32;privacy_budget_32,groth16,9113,0.11856266300014795,1.4373050180001883,1.0434286039994731,0.0,2.5992962849998094,3223,267,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:54.939084+00:00,measured,1,1,42,state_transition_and_conservation_64,state_transition_and_conservation,pi_trans,account,individual_policy,64,,,,none,monolithic,1,state_transition_and_conservation_64,groth16,329,0.022133643999950436,0.3047250150000309,0.2562229490001755,0.0,0.5830816080001568,807,3,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:56.298156+00:00,measured,1,1,43,linked_separate_valid_limit_32,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition_baseline,32,,valid_limit_b32,commitment_linked,tx_tag,separate,2,linked_valid_limit_validity_32;linked_valid_limit_limit_32,groth16,2210,0.08107732200005557,0.7157012289999329,0.5606597050000346,2.924999989772914e-06,1.3574411810000129,1604,196,True,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:58.033380+00:00,measured,1,1,44,separate_account_core_32,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition_baseline,32,,account_core_b32,baseline,unbound,separate,3,local_financial_validity_32;state_transition_and_conservation_32;operating_limit_32,groth16,445,0.06420399399985399,0.8992316110000047,0.7701243490000707,0.0,1.7335599539999293,2412,22,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:00.426193+00:00,measured,1,1,45,separate_account_budget_16,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition_baseline,16,,account_budget_b16,baseline,unbound,separate,4,local_financial_validity_16;state_transition_and_conservation_16;operating_limit_16;privacy_budget_16,groth16,329,0.08259137400023064,1.247128634000319,1.0609373219999725,0.0,2.390657330000522,3222,29,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:01.615603+00:00,measured,1,1,46,separate_valid_limit_16,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition_baseline,16,,valid_limit_b16,baseline,unbound,separate,2,local_financial_validity_16;operating_limit_16,groth16,148,0.04575366400013081,0.6133764559997417,0.5290141329999187,0.0,1.1881442529997912,1614,15,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:02.784505+00:00,measured,1,2,1,separate_valid_limit_16,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition_baseline,16,,valid_limit_b16,baseline,unbound,separate,2,local_financial_validity_16;operating_limit_16,groth16,148,0.04524093399982121,0.598823684999843,0.523710544000096,0.0,1.1677751629997601,1614,15,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:03.715319+00:00,measured,1,2,2,linked_token_bundle_monolithic_32_depth_16,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition,32,16,token_bundle_b32_d16,commitment_linked,tx_tag,monolithic,1,linked_token_bundle_monolithic_32_depth_16,groth16,11114,0.06586174699987168,0.5716223899999022,0.29049721399996997,2.7060000320489053e-06,0.9279840569997759,805,342,True,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:04.408656+00:00,measured,1,2,3,linked_account_budget_monolithic_32,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,32,,account_budget_b32,commitment_linked,tx_tag,monolithic,1,linked_account_budget_monolithic_32,groth16,1914,0.06610919899981127,0.3534983669999292,0.27280004099998223,2.198000174757908e-06,0.6924098049998975,803,111,True,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:06.163690+00:00,measured,1,2,4,separate_account_core_16,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition_baseline,16,,account_core_b16,baseline,unbound,separate,3,local_financial_validity_16;state_transition_and_conservation_16;operating_limit_16,groth16,237,0.07050043400022332,0.8970957330000147,0.7850563839999722,0.0,1.7526525510002102,2418,18,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:06.747237+00:00,measured,1,2,5,privacy_budget_16,privacy_budget,pi_budget,account,individual_policy,16,,,,none,monolithic,1,privacy_budget_16,groth16,92,0.0199260960000629,0.2995845450000161,0.26338226799998665,0.0,0.5828929090000656,804,11,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:09.083319+00:00,measured,1,2,6,separate_account_budget_64,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition_baseline,64,,account_budget_b64,baseline,unbound,separate,4,local_financial_validity_64;state_transition_and_conservation_64;operating_limit_64;privacy_budget_64,groth16,1193,0.08966159399960816,1.2079459229998974,1.0358620300000894,0.0,2.333469546999595,3220,58,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:10.178011+00:00,measured,1,2,7,token_policy_bundle_32_depth_32,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition,32,32,token_bundle_b32_d32,baseline,shared_witness,monolithic,1,token_policy_bundle_32_depth_32,groth16,18005,0.052188980999972046,0.7258959450000475,0.3158686270000999,0.0,1.0939535530001194,805,261,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:10.838105+00:00,measured,1,2,8,account_policy_with_privacy_budget_64,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,64,,account_budget_b64,baseline,shared_witness,monolithic,1,account_policy_with_privacy_budget_64,groth16,933,0.02236557800006267,0.3256451739998738,0.3114818379999633,0.0,0.6594925899998998,807,50,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:11.509855+00:00,measured,1,2,9,account_policy_with_privacy_budget_32,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,32,,account_budget_b32,baseline,shared_witness,monolithic,1,account_policy_with_privacy_budget_32,groth16,485,0.025957232000109798,0.33103861800009327,0.31413365700018403,0.0,0.6711295070003871,802,30,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:12.733316+00:00,measured,1,2,10,separate_valid_limit_64,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition_baseline,64,,valid_limit_b64,baseline,unbound,separate,2,local_financial_validity_64;operating_limit_64,groth16,532,0.04815253899982963,0.6079046450001897,0.5661895039997944,0.0,1.2222466879998137,1609,29,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:13.315094+00:00,measured,1,2,11,privacy_budget_32,privacy_budget,pi_budget,account,individual_policy,32,,,,none,monolithic,1,privacy_budget_32,groth16,172,0.021833025999967504,0.28801442300004965,0.2713043410001319,0.0,0.581151790000149,806,16,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:13.906117+00:00,measured,1,2,12,local_financial_validity_16,local_financial_validity,pi_valid,account,individual_policy,16,,,,none,monolithic,1,local_financial_validity_16,groth16,56,0.02183987800003706,0.2982496069998888,0.27030722900008186,0.0,0.5903967140000077,807,3,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:14.471648+00:00,measured,1,2,13,state_transition_and_conservation_64,state_transition_and_conservation,pi_trans,account,individual_policy,64,,,,none,monolithic,1,state_transition_and_conservation_64,groth16,329,0.021591971999896487,0.29191705299990645,0.2513662950000253,0.0,0.5648753199998282,807,3,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:15.707688+00:00,measured,1,2,14,separate_valid_limit_32,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition_baseline,32,,valid_limit_b32,baseline,unbound,separate,2,local_financial_validity_32;operating_limit_32,groth16,276,0.04696640900010607,0.6407413750000615,0.5468855100000383,0.0,1.2345932940002058,1600,19,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:17.636524+00:00,measured,1,2,15,separate_account_core_64,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition_baseline,64,,account_core_b64,baseline,unbound,separate,3,local_financial_validity_64;state_transition_and_conservation_64;operating_limit_64,groth16,861,0.06871493400012696,1.033687165000174,0.8246293639999749,0.0,1.9270314630002758,2415,32,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:18.299088+00:00,measured,1,2,16,linked_valid_limit_monolithic_32,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition,32,,valid_limit_b32,commitment_linked,tx_tag,monolithic,1,linked_valid_limit_monolithic_32,groth16,1210,0.041508223999926486,0.3547275159999117,0.26537336100000175,3.094000021519605e-06,0.6616121949998615,807,98,True,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:18.897931+00:00,measured,1,2,17,account_policy_core_16,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition,16,,account_core_b16,baseline,shared_witness,monolithic,1,account_policy_core_16,groth16,186,0.02089870300005714,0.3004918879998968,0.2767911539999659,0.0,0.5981817449999198,808,12,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:19.478569+00:00,measured,1,2,18,local_validity_and_operating_limit_32,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition,32,,valid_limit_b32,baseline,shared_witness,monolithic,1,local_validity_and_operating_limit_32,groth16,243,0.025234652999870377,0.28335434799987524,0.2714113869999437,0.0,0.5800003879996893,806,16,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:20.087885+00:00,measured,1,2,19,account_policy_with_privacy_budget_16,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,16,,account_budget_b16,baseline,shared_witness,monolithic,1,account_policy_with_privacy_budget_16,groth16,261,0.022592765000126747,0.3121993659999589,0.2738925530002234,0.0,0.6086846840003091,805,21,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:21.117879+00:00,measured,1,2,20,merkle_membership_depth_32,merkle_membership,pi_mem,token,individual_policy,,32,,,none,monolithic,1,merkle_membership_depth_32,groth16,16640,0.04509589600002073,0.7085324180000043,0.27548712299994804,0.0,1.029115436999973,804,84,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:21.704003+00:00,measured,1,2,21,privacy_budget_64,privacy_budget,pi_budget,account,individual_policy,64,,,,none,monolithic,1,privacy_budget_64,groth16,332,0.021835113000179263,0.3030933720001485,0.26034002799997324,0.0,0.585268513000301,805,26,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:37:24.052944+00:00,measured,1,2,22,separate_account_budget_16,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition_baseline,16,,account_budget_b16,baseline,unbound,separate,4,local_financial_validity_16;state_transition_and_conservation_16;operating_limit_16;privacy_budget_16,groth16,329,0.0868607219997557,1.1778330930001175,1.0818861180000567,0.0,2.34657993299993,3222,29,True,,True,ok,
